"Name","AppID"
"15 Bands Graphic EQ","{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\VB\Voicemeeter\VoicemeeterBUSGEQ15.exe"
"8x8 Output Matrix","{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\VB\Voicemeeter\VoicemeeterBUSMatrix8.exe"
"Access","Microsoft.Office.MSACCESS.EXE.15"
"Acer documents","C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Acer\Acer Regulatory Information and Safety Guide.pdf"
"Acer Jumpstart","Hermes.Client.Jumpstart"
"Acer Legal Information","https://www.acer.com/legal"
"Acer Product Registration","AcerIncorporated.AcerRegistration_48frkmn4z8aw4!Acer.AcerRegistration"
"Acer Purified Voice Console (R)","AcerIncorporated.AcerPurifiedVoiceConsoleR_48frkmn4z8aw4!App"
"Add Design Tools or Devices 2024.1","C:\Xilinx\.xinstall\Vivado_2024.1\xsetup.exe"
"AirDroid Cast","{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\AirDroidCast\Launcher.exe"
"AirPlay","53887HaoCai.AirPlay-ScreenMirroring_qrw73ppzkf79y!App"
"Alexa","57540AMZNMobileLLC.AmazonAlexa_22t9g3sebte08!App"
"Amazon Appstore","com.amazon.venezia"
"Amethyst-Launcher","com.frederoxdev.amethystlauncher"
"Among Us","Innersloth.AmongUs_fw5x688tam7rm!Game"
"Anaconda Navigator (anaconda)","Microsoft.AutoGenerated.{3DA69CB9-E2F8-5FA5-3217-C54662DD10CF}"
"Anaconda Powershell Prompt (anaconda)","Microsoft.AutoGenerated.{A0E87800-C668-15F6-48E8-696AB578CC15}"
"Anaconda Prompt (anaconda)","Microsoft.AutoGenerated.{98C50D38-1E20-252E-AA28-7D9B9339B4EA}"
"App Recovery","Microsoft.AutoGenerated.{9BA47617-30A2-1128-71F7-8C06BD0B5FBE}"
"AppData - Shortcut","C:\Users\chave\AppData"
"Arduino IDE","cc.arduino.IDE2"
"ARK: Survival Ascended","StudioWildcard.ARKSurvivalAscended_1w2mm55455e38!AppARKSurvivalAscendedShipping"
"ARK: Survival Evolved","StudioWildcard.4558480580BB9_1w2mm55455e38!AppARKSurvivalEvolved"
"Audio Repeater (KS)","{6D809377-6AF0-444B-8957-A3773F02200E}\Virtual Audio Cable\audiorepeater_ks.exe"
"Audio Repeater (MME)","{6D809377-6AF0-444B-8957-A3773F02200E}\Virtual Audio Cable\audiorepeater.exe"
"AutoHotkey Dash","AutoHotkey.AutoHotkey"
"AutoHotkey Window Spy","AutoHotkey.WindowSpy"
"AutoIt Help File","{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\AutoIt3\AutoIt.chm"
"AutoIt v3 Website","{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\AutoIt3\AutoIt v3 Website.url"
"AutoIt Window Info (x64)","{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\AutoIt3\Au3Info_x64.exe"
"AutoIt Window Info (x86)","{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\AutoIt3\Au3Info.exe"
"AutoItX Help File","{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\AutoIt3\AutoItX\AutoItX.chm"
"Back 4 Blood","steam://rungameid/924970"
"BakkesMod","{6D809377-6AF0-444B-8957-A3773F02200E}\BakkesMod\BakkesMod.exe"
"balenaEtcher","io.balena.etcher"
"BitTorrent Web","C:\Users\chave\AppData\Roaming\BitTorrent Web\btweb.exe"
"Blackhawk Control Panel (64-bit)","{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\Blackhawk\Emulation\Drivers\Bh560v2\v1.1.0.13\amd64\blackhwk.cpl"
"Blender 4.2","{6D809377-6AF0-444B-8957-A3773F02200E}\Blender Foundation\Blender 4.2\blender-launcher.exe"
"BlueStacks X","{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\BlueStacks X\BlueStacks X.exe"
"Browse Extras","{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\AutoIt3\Extras"
"BullX","Chrome._crx_hihebbchlogdngb.UserData.Profile1"
"Calculator","Microsoft.WindowsCalculator_8wekyb3d8bbwe!App"
"Calendar","microsoft.windowscommunicationsapps_8wekyb3d8bbwe!microsoft.windowslive.calendar"
"Call of Duty?","38985CA0.COREBase_5bkah9njm3e9g!codShip"
"Camera","Microsoft.WindowsCamera_8wekyb3d8bbwe!App"
"Canon Inkjet Print Utility","34791E63.CanonInkjetPrintUtility_6e5tt8cgb93ep!App"
"Care Center","AcerIncorporated.AcerCareCenterS_48frkmn4z8aw4!AcerCareCenter.LightMode"
"Character Map","{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\charmap.exe"
"ChatGPT","OpenAI.ChatGPT-Desktop_2p2nqsd0c76g0!ChatGPT"
"Check For SQLite Updates","Microsoft.AutoGenerated.{F1118828-A0CC-5FEB-85C9-DBFFDF98434A}"
"Check For Updates","Microsoft.AutoGenerated.{116229A7-9A3B-2078-DB5F-B5A20811242C}"
"Check for updates","Microsoft.AutoGenerated.{527135AC-A433-B5F2-5FBF-C9CF7CBB9F7D}"
"Cinebench","MAXONComputerGmbH.Cinebench_rsne5bsk8s7tj!Cinebench"
"Cities: Skylines II - PC Edition","ParadoxInteractive.CitiesSkylinesII-PCEdition_zfnrdv2de78ny!Cities2"
"Clock","Microsoft.WindowsAlarms_8wekyb3d8bbwe!App"
"Code Composer Studio for MSP432 User's Guide","http://www.ti.com/lit/pdf/slau575"
"Command Prompt","{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\cmd.exe"
"Compile Script to .exe (x64)","{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\AutoIt3\Aut2Exe\Aut2exe_x64.exe"
"Compile Script to .exe (x86)","{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\AutoIt3\Aut2Exe\Aut2exe.exe"
"Component Services","{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\comexp.msc"
"Computer Management","Microsoft.AutoGenerated.{8ABD94FB-E7D6-84A6-A997-C918EDDE0AE5}"
"Control Panel","Microsoft.Windows.ControlPanel"
"Copilot","Microsoft.Copilot_8wekyb3d8bbwe!App"
"CreateService","{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\Razer\Razer Services\Razer Central\CreateService.bat"
"CreateService","{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\Razer\Razer Services\GMS\CreateService.bat"
"Crosshair X","47492CenterpointGaming.ProSight_rz8d8f65gztyc!CrosshairX"
"Crosshair Zoom","62269AlexShats.CrosshairZoom_gghb1w55myjr2!App"
"CurseForge","overwolf.cchhcaiapeikjbdbpfplgmpobbcdkdaphclbmkbj"
"Database Compare","Microsoft.Office.DATABASECOMPARE.EXE.15"
"Debian","TheDebianProject.DebianGNULinux_76v4gfsz19hv4!debian"
"Debugging Help","{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\Windows Kits\10\Debuggers\x86\debugger.chm"
"Debugging Help","{6D809377-6AF0-444B-8957-A3773F02200E}\Windows Kits\10\Debuggers\x64\debugger.chm"
"Defragment and Optimize Drives","{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\dfrgui.exe"
"Descenders","NoMoreRobots.GamePreviewDescenders_671zbmwb2bw9p!App"
"Dev Home","Microsoft.Windows.DevHome_8wekyb3d8bbwe!App"
"Discord","com.squirrel.Discord.Discord"
"Discord PTB","com.squirrel.DiscordPtb.DiscordPtb"
