"Name","PackageFullName","Publisher","InstallLocation","LaunchCommand"
"Microsoft.NET.Native.Framework.2.2","Microsoft.NET.Native.Framework.2.2_2.2.29512.0_x64__8wekyb3d8bbwe","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","C:\Program Files\WindowsApps\Microsoft.NET.Native.Framework.2.2_2.2.29512.0_x64__8wekyb3d8bbwe","shell:AppsFolder\Microsoft.NET.Native.Framework.2.2_8wekyb3d8bbwe"
"Microsoft.NET.Native.Framework.2.2","Microsoft.NET.Native.Framework.2.2_2.2.29512.0_x86__8wekyb3d8bbwe","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","C:\Program Files\WindowsApps\Microsoft.NET.Native.Framework.2.2_2.2.29512.0_x86__8wekyb3d8bbwe","shell:AppsFolder\Microsoft.NET.Native.Framework.2.2_8wekyb3d8bbwe"
"Microsoft.NET.Native.Runtime.2.2","Microsoft.NET.Native.Runtime.2.2_2.2.28604.0_x64__8wekyb3d8bbwe","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","C:\Program Files\WindowsApps\Microsoft.NET.Native.Runtime.2.2_2.2.28604.0_x64__8wekyb3d8bbwe","shell:AppsFolder\Microsoft.NET.Native.Runtime.2.2_8wekyb3d8bbwe"
"Microsoft.NET.Native.Runtime.2.2","Microsoft.NET.Native.Runtime.2.2_2.2.28604.0_x86__8wekyb3d8bbwe","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","C:\Program Files\WindowsApps\Microsoft.NET.Native.Runtime.2.2_2.2.28604.0_x86__8wekyb3d8bbwe","shell:AppsFolder\Microsoft.NET.Native.Runtime.2.2_8wekyb3d8bbwe"
"Microsoft.UI.Xaml.2.4","Microsoft.UI.Xaml.2.4_2.42007.9001.0_x64__8wekyb3d8bbwe","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","C:\Program Files\WindowsApps\Microsoft.UI.Xaml.2.4_2.42007.9001.0_x64__8wekyb3d8bbwe","shell:AppsFolder\Microsoft.UI.Xaml.2.4_8wekyb3d8bbwe"
"Microsoft.NET.Native.Framework.1.3","Microsoft.NET.Native.Framework.1.3_1.3.24211.0_x64__8wekyb3d8bbwe","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","C:\Program Files\WindowsApps\Microsoft.NET.Native.Framework.1.3_1.3.24211.0_x64__8wekyb3d8bbwe","shell:AppsFolder\Microsoft.NET.Native.Framework.1.3_8wekyb3d8bbwe"
"Microsoft.NET.Native.Framework.1.3","Microsoft.NET.Native.Framework.1.3_1.3.24211.0_x86__8wekyb3d8bbwe","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","C:\Program Files\WindowsApps\Microsoft.NET.Native.Framework.1.3_1.3.24211.0_x86__8wekyb3d8bbwe","shell:AppsFolder\Microsoft.NET.Native.Framework.1.3_8wekyb3d8bbwe"
"Microsoft.NET.Native.Runtime.1.4","Microsoft.NET.Native.Runtime.1.4_1.4.24201.0_x64__8wekyb3d8bbwe","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","C:\Program Files\WindowsApps\Microsoft.NET.Native.Runtime.1.4_1.4.24201.0_x64__8wekyb3d8bbwe","shell:AppsFolder\Microsoft.NET.Native.Runtime.1.4_8wekyb3d8bbwe"
"Microsoft.NET.Native.Runtime.1.4","Microsoft.NET.Native.Runtime.1.4_1.4.24201.0_x86__8wekyb3d8bbwe","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","C:\Program Files\WindowsApps\Microsoft.NET.Native.Runtime.1.4_1.4.24201.0_x86__8wekyb3d8bbwe","shell:AppsFolder\Microsoft.NET.Native.Runtime.1.4_8wekyb3d8bbwe"
"Microsoft.NET.Native.Framework.1.7","Microsoft.NET.Native.Framework.1.7_1.7.27413.0_x64__8wekyb3d8bbwe","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","C:\Program Files\WindowsApps\Microsoft.NET.Native.Framework.1.7_1.7.27413.0_x64__8wekyb3d8bbwe","shell:AppsFolder\Microsoft.NET.Native.Framework.1.7_8wekyb3d8bbwe"
"Microsoft.NET.Native.Framework.1.7","Microsoft.NET.Native.Framework.1.7_1.7.27413.0_x86__8wekyb3d8bbwe","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","C:\Program Files\WindowsApps\Microsoft.NET.Native.Framework.1.7_1.7.27413.0_x86__8wekyb3d8bbwe","shell:AppsFolder\Microsoft.NET.Native.Framework.1.7_8wekyb3d8bbwe"
"Microsoft.NET.Native.Runtime.1.7","Microsoft.NET.Native.Runtime.1.7_1.7.27422.0_x64__8wekyb3d8bbwe","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","C:\Program Files\WindowsApps\Microsoft.NET.Native.Runtime.1.7_1.7.27422.0_x64__8wekyb3d8bbwe","shell:AppsFolder\Microsoft.NET.Native.Runtime.1.7_8wekyb3d8bbwe"
"Microsoft.NET.Native.Runtime.1.7","Microsoft.NET.Native.Runtime.1.7_1.7.27422.0_x86__8wekyb3d8bbwe","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","C:\Program Files\WindowsApps\Microsoft.NET.Native.Runtime.1.7_1.7.27422.0_x86__8wekyb3d8bbwe","shell:AppsFolder\Microsoft.NET.Native.Runtime.1.7_8wekyb3d8bbwe"
"RivetNetworks.KillerControlCenter","RivetNetworks.KillerControlCenter_3.1121.1109.0_x64__rh07ty8m5nkag","CN=EB742617-4934-4951-8B93-E211D04E5A38","C:\Program Files\WindowsApps\RivetNetworks.KillerControlCenter_3.1121.1109.0_x64__rh07ty8m5nkag","shell:AppsFolder\RivetNetworks.KillerControlCenter_rh07ty8m5nkag"
"Microsoft.UI.Xaml.2.1","Microsoft.UI.Xaml.2.1_2.11906.6001.0_x64__8wekyb3d8bbwe","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","C:\Program Files\WindowsApps\Microsoft.UI.Xaml.2.1_2.11906.6001.0_x64__8wekyb3d8bbwe","shell:AppsFolder\Microsoft.UI.Xaml.2.1_8wekyb3d8bbwe"
